date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_elo,away_elo,elo_diff,home_forma,away_forma,equipo_a,equipo_b,h2h_victorias_a,h2h_victorias_b
2026-07-14,France,Spain,,,FIFA World Cup,TBD,TBD,True,2062.0,2171.0,-109.0,12.0,11.0,France,Spain,13.0,17.0
2026-07-15,England,Argentina,,,FIFA World Cup,TBD,TBD,True,2042.0,2113.0,-71.0,11.0,13.0,Argentina,England,3.0,5.0
