date,home_team,away_team,home_score,away_score,resultado
2026-07-09,France,Morocco,2,0,home_win
2026-07-10,Spain,Belgium,2,1,home_win
2026-07-11,Norway,England,1,1,draw
2026-07-11,Argentina,Switzerland,1,1,draw
