date,home_team,away_team,home_score,away_score,resultado
2026-07-05,Canada,Morocco,0,3,away_win
2026-07-05,Paraguay,France,0,1,away_win
2026-07-06,Brazil,Norway,1,2,away_win
2026-07-06,Mexico,England,2,3,away_win
2026-07-07,Portugal,Spain,0,1,away_win
2026-07-07,United States,Belgium,1,4,away_win
2026-07-08,Argentina,Egypt,3,2,home_win
2026-07-08,Switzerland,Colombia,0,0,draw
